Price,Bedrooms,Bathrooms,Sqft,Address,ZIP Code
364900.0,2.0,1.0,8648.0,"4560 SE 113th Ave, Portland, OR 97266",97266.0
795000.0,2.0,1.5,1360.0,"2141 NW Davis St Apt 203, Portland, OR 97210",97210.0
515000.0,4.0,3.5,1929.0,"13620 NE Glendoveer Ct, Portland, OR 97230",97230.0
515000.0,3.0,2.5,1344.0,"15497 NW Sweetgale Ct, Portland, OR 97229",97229.0
948800.0,4.0,2.0,2379.0,"4030 NE 28th Ave, Portland, OR 97212",97212.0
477500.0,3.0,1.0,1887.0,"7420 SE Grant St, Portland, OR 97215",97215.0
495000.0,3.0,2.0,1334.0,"2701 SE 80th Ave, Portland, OR 97206",97206.0
550000.0,3.0,2.5,1697.0,"7030 N Missouri Ave, Portland, OR 97217",97217.0
592500.0,3.0,1.5,2116.0,"3330 SW Primrose St, Portland, OR 97219",97219.0
535000.0,4.0,2.5,1975.0,"10031 SE Yukon St, Portland, OR 97266",97266.0
550000.0,3.0,1.0,2267.0,"7059 N Fairport Pl, Portland, OR 97217",97217.0
575000.0,3.0,1.5,2255.0,"4007 SE Long St, Portland, OR 97202",97202.0
525000.0,3.0,1.0,1978.0,"7316 SE 16th Ave, Portland, OR 97202",97202.0
675000.0,3.0,2.0,1755.0,"7616 SW Greenwood Dr, Portland, OR 97223",97223.0
285000.0,3.0,1.0,1392.0,"8308 SE Kelly St, Portland, OR 97266",97266.0
499000.0,3.0,3.5,1954.0,"10396 NW Forestview Way, Portland, OR 97229",97229.0
475000.0,3.0,1.0,1619.0,"4610 NE 29th Ave, Portland, OR 97211",97211.0
599900.0,2.0,2.0,1795.0,"4619 NE 14th Ave, Portland, OR 97211",97211.0
554900.0,4.0,2.5,1933.0,"3862 NE 150th Ave, Portland, OR 97230",97230.0
435000.0,2.0,1.0,7247.0,"9115 SE Alder St, Portland, OR 97216",97216.0
575000.0,3.0,2.0,1602.0,"8985 NW Oak St, Portland, OR 97229",97229.0
810000.0,2.0,2.5,2001.0,"2501 NW Thurman St, Portland, OR 97210",97210.0
320000.0,2.0,1.0,9729.0,"1220 NE 17th Ave Apt 14F, Portland, OR 97232",97232.0
225000.0,1.0,1.0,5135.0,"2109 NW Irving St Unit 207, Portland, OR 97210",97210.0
450000.0,3.0,1.5,1390.0,"12415 NW Haskell Ct, Portland, OR 97229",97229.0
695000.0,2.0,2.0,1542.0,"1930 NW Irving St Apt 404, Portland, OR 97209",97209.0
499000.0,2.0,2.0,1268.0,"15760 SW Greens Way, Portland, OR 97224",97224.0
209000.0,1.0,1.0,4774.0,"1829 NW Lovejoy St Unit 111, Portland, OR 97209",97209.0
635000.0,3.0,2.5,1962.0,"3320 SW 1st Ave, Portland, OR 97239",97239.0
269900.0,2.0,1.0,9129.0,"2221 SW 1st Ave Apt 1426, Portland, OR 97201",97201.0
370000.0,2.0,2.0,1093.0,"11825 NW Stone Mountain Ln Unit 403, Portland, OR 97229",97229.0
1595000.0,2.0,2.5,2033.0,"1900 S River Dr Unit 502, Portland, OR 97201",97201.0
800000.0,4.0,3.5,2445.0,"3188 NE Oregon St, Portland, OR 97232",97232.0
499999.0,3.0,3.5,1567.0,"3857 SE 92nd Ave Unit 2, Portland, OR 97266",97266.0
649900.0,4.0,3.5,1588.0,"1024 N Ainsworth St, Portland, OR 97217",97217.0
239000.0,1.0,1.0,6776.0,"3925 SW Multnomah Blvd Apt 105, Portland, OR 97219",97219.0
649900.0,3.0,2.5,1921.0,"1102 NE Tillamook St Unit 5, Portland, OR 97212",97212.0
385000.0,3.0,3.0,1350.0,"4620 SW Caldew St Unit E, Portland, OR 97219",97219.0
549000.0,3.0,2.5,1866.0,"15546 NW Snowbush Ln, Portland, OR 97229",97229.0
199900.0,2.0,1.0,8148.0,"2718 SE 138th Ave Apt 64, Portland, OR 97236",97236.0
310000.0,1.0,1.0,7187.0,"1926 W Burnside St Unit 1508, Portland, OR 97209",97209.0
410000.0,2.0,1.0,1509.0,"6727 N Princeton St, Portland, OR 97203",97203.0
499999.0,3.0,2.5,1651.0,"3851 SE 92nd Ave Unit 5, Portland, OR 97266",97266.0
425000.0,1.0,1.0,7367.0,"1025 NW Couch St Unit 1115, Portland, OR 97209",97209.0
409000.0,1.0,1.0,8208.0,"1920 S River Dr Unit E405, Portland, OR 97201",97201.0
2914300.0,14.0,2.5,6592.0,"3564 NE Garfield Ave, Portland, OR 97212",97212.0
200000.0,2.0,1.0,8208.0,"283 SE 162nd Ave, Portland, OR 97233",97233.0
396000.0,1.0,1.0,7307.0,"4216 N Mississippi Ave, Portland, OR 97217",97217.0
579950.0,6.0,2.0,1872.0,"14544 SE Clinton St, Portland, OR 97236",97236.0
517500.0,2.0,3.0,2168.0,"10626 NE Siskiyou St, Portland, OR 97220",97220.0
729900.0,4.0,3.0,2623.0,"3450 SW 87th Ave, Portland, OR 97225",97225.0
529900.0,3.0,2.0,1515.0,"924 NE 174th Ave, Portland, OR 97230",97230.0
475000.0,2.0,1.0,2046.0,"8025 N Fenwick Ave, Portland, OR 97217",97217.0
519900.0,3.0,2.5,1753.0,"4435 SE Umatilla St, Portland, OR 97206",97206.0
789900.0,5.0,2.0,2512.0,"2305 NE 41st Ave, Portland, OR 97212",97212.0
474000.0,2.0,1.0,1059.0,"1514 NE 57th Ave, Portland, OR 97213",97213.0
624900.0,3.0,2.0,2029.0,"423 NE 72nd Ave, Portland, OR 97213",97213.0
485000.0,3.0,1.0,2160.0,"1552 NE 73rd Ave, Portland, OR 97213",97213.0
1195000.0,4.0,3.0,2780.0,"2669 SW Vista Ave, Portland, OR 97201",97201.0
430000.0,3.0,1.0,9609.0,"7810 SW Pitic Ln, Portland, OR 97223",97223.0
199000.0,1.0,1.0,5725.0,"7540 SW Barnes Rd, Portland, OR 97225",97225.0
119995.0,2.0,1.0,7107.0,"3441 SE 111th Ave Unit 6, Portland, OR 97266",97266.0
575000.0,3.0,2.0,1310.0,"4865 NW Kahneeta Dr, Portland, OR 97229",97229.0
505000.0,3.0,2.5,1474.0,"16077 NW Hildago Ln, Portland, OR 97229",97229.0
524900.0,3.0,2.0,1500.0,"8629 NE Clackamas St, Portland, OR 97220",97220.0
840000.0,4.0,2.5,2248.0,"420 NE 28th Ave, Portland, OR 97232",97232.0
315698.0,2.0,1.0,9569.0,"9601 NW Leahy Rd Apt 201, Portland, OR 97229",97229.0
495000.0,2.0,1.0,1040.0,"8132 SW 41st Ave, Portland, OR 97219",97219.0
389500.0,2.0,2.0,1206.0,"7425 SE Harney St, Portland, OR 97206",97206.0
1289900.0,5.0,4.0,4675.0,"1916 NW Runnymeade Ct, Portland, OR 97229",97229.0
559900.0,3.0,2.0,1204.0,"9616 SW 6th Ave, Portland, OR 97219",97219.0
255000.0,1.0,1.0,7277.0,"255 SW Harrison St Apt 5B, Portland, OR 97201",97201.0
915000.0,6.0,4.0,3082.0,"7008 N Fiske Ave, Portland, OR 97203",97203.0
520000.0,3.0,2.5,1500.0,"5016 SW Buddington St, Portland, OR 97219",97219.0
40000.0,2.0,1.0,7847.0,"16745 SE Division St Unit 58, Portland, OR 97236",97236.0
875000.0,3.0,2.5,2304.0,"6201 NE Beech St, Portland, OR 97213",97213.0
