Price,Bedrooms,Bathrooms,Sqft,Address,ZIP Code
474000,2,1,1059,"1514 NE 57th AvePortland, OR 97213",97213
624900,3,2,2029,"423 NE 72nd AvePortland, OR 97213",97213
485000,3,1,2160,"1552 NE 73rd AvePortland, OR 97213",97213
1195000,4,3,2780,"2669 SW Vista AvePortland, OR 97201",97201
430000,3,1,9609,"7810 SW Pitic LnPortland, OR 97223",97223
199000,1,1,5725,"7540 SW Barnes RdPortland, OR 97225",97225
119995,2,1,7107,"3441 SE 111th Ave Unit 6Portland, OR 97266",97266
575000,3,2,1310,"4865 NW Kahneeta DrPortland, OR 97229",97229
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
505000,3,25,1474,"16077 NW Hildago LnPortland, OR 97229",97229
139100,,1,4444,"20 NW 16th AvePortland, OR 97209",97209
524900,3,2,1500,"8629 NE Clackamas StPortland, OR 97220",97220
840000,4,25,2248,"420 NE 28th AvePortland, OR 97232",97232
315698,2,1,9569,"9601 NW Leahy Rd Apt 201Portland, OR 97229",97229
495000,2,1,1040,"8132 SW 41st AvePortland, OR 97219",97219
180000,,1,4774,"1134 SW Jefferson St Apt 508Portland, OR 97201",97201
389500,2,2,1206,"7425 SE Harney StPortland, OR 97206",97206
1289900,5,4,4675,"1916 NW Runnymeade CtPortland, OR 97229",97229
559900,3,2,1204,"9616 SW 6th AvePortland, OR 97219",97219
255000,1,1,7277,"255 SW Harrison St Apt 5BPortland, OR 97201",97201
915000,6,4,3082,"7008 N Fiske AvePortland, OR 97203",97203
520000,3,25,1500,"5016 SW Buddington StPortland, OR 97219",97219
40000,2,1,7847,"16745 SE Division St Unit 58Portland, OR 97236",97236
875000,3,25,2304,"6201 NE Beech StPortland, OR 97213",97213
355000,2,2,1087,"1910 SW 18th Ave Apt 16Portland, OR 97201",97201
875000,5,1,2915,"2120 SE Ladd AvePortland, OR 97214",97214
,,,,,
499900,3,25,2112,"6131 SW Luradel StPortland, OR 97219",97219
1350000,3,25,2377,"1968 SW Terrace DrPortland, OR 97201",97201
310000,2,15,1120,"4880 SW Scholls Ferry Rd Apt 3Portland, OR 97225",97225
1295000,6,45,3300,"3523 NE 20th AvePortland, OR 97212",97212
549900,2,2,1010,"2165 NW Everett StPortland, OR 97210",97210
1995000,3,25,3455,"5450 SW 87th AvePortland, OR 97225",97225
399999,2,1,1252,"4525 NE Wygant StPortland, OR 97218",97218
475000,3,2,1760,"6835 SE 144th AvePortland, OR 97236",97236
795000,2,25,2095,"2537 NW Mildred StPortland, OR 97210",97210
339777,1,15,7247,"81 N Hayden Bay Dr Unit BLD-DPortland, OR 97217",97217
2150000,3,35,3814,"1414 SW 3rd Ave Apt 3001Portland, OR 97201",97201
300000,2,1,7047,"8316 SE 74th AvePortland, OR 97206",97206
675000,3,2,2062,"3327 SW 12th AvePortland, OR 97239",97239
468900,2,2,1206,"1710 S Harbor Way Unit 304Portland, OR 97201",97201
,,,,,
